client,config,latency_ms
Besu,Baseline,48.784733
Besu,Baseline,18.232107
Besu,Baseline,20.630121
Besu,Baseline,25.259972
Besu,Baseline,22.514582
Besu,Baseline,22.053957
Besu,Baseline,26.031971
Besu,Baseline,28.857946
Besu,Baseline,28.884411
Besu,Baseline,26.988029
Besu,Baseline,27.797461
Besu,Baseline,24.449587
Besu,Baseline,30.342102
Besu,Baseline,20.904064
Besu,Baseline,35.882235
Besu,Baseline,31.772137
Besu,Baseline,38.407326
Besu,Baseline,34.082413
Besu,Baseline,36.712646
Besu,Baseline,35.577297
Besu,Baseline,32.535791
Besu,Baseline,31.006813
Besu,Baseline,39.307594
Besu,Baseline,68.3918
Besu,Baseline,36.412954
Besu,Baseline,73.652267
Besu,Baseline,39.183617
Besu,Baseline,25.467157
Besu,Baseline,54.31366
Besu,Baseline,33.695221
Besu,Baseline,36.01408
Besu,Baseline,88.279486
Besu,Baseline,51.477432
Besu,Baseline,28.309584
Besu,Baseline,102.999449
Besu,Baseline,42.022228
Besu,Baseline,40.394545
Besu,Baseline,136.630774
Besu,Baseline,37.159681
Besu,Baseline,100.843668
Besu,Baseline,72.337151
Besu,Baseline,64.779997
Besu,Baseline,47.346592
Besu,Baseline,56.644201
Besu,Baseline,24.281025
Besu,Baseline,111.447811
Besu,Baseline,65.461874
Besu,Baseline,71.044445
Besu,Baseline,84.483147
Besu,Baseline,61.957121
Besu,Baseline,50.677538
Besu,Baseline,81.371307
Besu,Baseline,29.723167
Besu,Baseline,75.33288
Besu,Baseline,103.128672
Besu,Baseline,30.846119
Besu,Baseline,275.671959
Besu,Baseline,93.714237
Besu,Baseline,42.643785
Besu,Baseline,106.471062
Besu,Baseline,48.187494
Besu,Baseline,191.610336
Besu,Baseline,160.651445
Besu,Baseline,77.125549
Besu,Baseline,52.479982
Besu,Baseline,47.931194
Besu,Baseline,95.849276
Besu,Baseline,66.823959
Besu,Baseline,188.448906
Besu,Baseline,46.72575
Besu,Baseline,105.571508
Besu,Baseline,153.597116
Besu,Baseline,33.035278
Besu,Baseline,51.43261
Besu,Baseline,208.76956
Besu,Baseline,29.062033
Besu,Baseline,26.539087
Besu,Baseline,180.81069
Besu,Baseline,89.461088
Besu,Baseline,72.032928
Besu,Baseline,157.999754
Besu,Baseline,86.082697
Besu,Baseline,41.386366
Besu,Baseline,70.501804
Besu,Baseline,183.122158
Besu,Baseline,34.905195
Besu,Baseline,120.3866
Besu,Baseline,82.440853
Besu,Baseline,49.774885
Besu,Baseline,114.864349
Besu,Baseline,215.250969
Besu,Baseline,76.354027
Besu,Baseline,62.172174
Besu,Baseline,41.898966
Besu,Baseline,77.153444
Besu,Baseline,298.238039
Besu,Baseline,35.286903
Besu,Baseline,157.869816
Besu,Baseline,350.302219
Besu,Baseline,186.01799
Besu,Baseline,114.426851
Besu,Baseline,310.824394
Besu,Baseline,210.509539
Besu,Baseline,27.838469
Besu,Baseline,140.003204
Besu,Baseline,99.649429
Besu,Baseline,32.207251
Besu,Baseline,249.807835
Besu,Baseline,208.346367
Besu,Baseline,28.2619
Besu,Baseline,251.178265
Besu,Baseline,41.456223
Besu,Baseline,257.364988
Besu,Baseline,178.484917
Besu,Baseline,212.675095
Besu,Baseline,175.842762
Besu,Baseline,194.464207
Besu,Baseline,137.928009
Besu,Baseline,175.974846
Besu,Baseline,202.19183
Besu,Baseline,58.652401
Besu,Baseline,73.559523
Besu,Baseline,43.831587
Besu,Baseline,115.806103
Besu,Baseline,94.927073
Besu,Baseline,52.630424
Besu,Baseline,38.377285
Besu,Baseline,85.915804
Besu,Baseline,34.488201
Besu,Baseline,90.707779
Besu,Baseline,43.413401
Besu,Baseline,50.490141
Besu,Baseline,24.186611
Besu,Baseline,101.463079
Besu,Baseline,132.821083
Besu,Baseline,108.222485
Besu,Baseline,109.288692
Besu,Baseline,90.171576
Besu,Baseline,27.637243
Besu,Baseline,108.606339
Besu,Baseline,93.271494
Besu,Baseline,23.354769
Besu,Baseline,203.208923
Besu,Baseline,25.288343
Besu,Baseline,247.980356
Besu,Baseline,114.578485
Besu,Baseline,27.771473
Besu,Baseline,27.41766
Besu,Baseline,158.515215
Besu,Baseline,156.226158
Besu,Baseline,71.34819
Besu,Baseline,41.914225
Besu,Baseline,285.798788
Besu,Baseline,224.453449
Besu,Baseline,99.810839
Besu,Baseline,311.952353
Besu,Baseline,23.804426
Besu,Baseline,245.064735
Besu,Baseline,118.861437
Besu,Baseline,58.799267
Besu,Baseline,238.456726
Besu,Baseline,213.111877
Besu,Baseline,82.731247
Besu,Baseline,213.953495
Besu,Baseline,133.430481
Besu,Baseline,27.004242
Besu,Baseline,76.643467
Besu,Baseline,250.9377
Besu,Baseline,26.271343
Besu,Baseline,43.13302
Besu,Baseline,121.862888
Besu,Baseline,82.818747
Besu,Baseline,20.0634
Besu,Baseline,117.108822
Besu,Baseline,43.257713
Besu,Baseline,98.237991
Besu,Baseline,25.533438
Besu,Baseline,357.591629
Besu,Baseline,150.647163
Besu,Baseline,35.336256
Besu,Baseline,422.677517
Besu,Baseline,121.685266
Besu,Baseline,22.598982
Besu,Baseline,34.586906
Besu,Baseline,52.05512
Besu,Baseline,23.195028
Besu,Baseline,22.993803
Besu,Baseline,29.809237
Besu,Baseline,122.877121
Besu,Baseline,315.023899
Besu,Baseline,628.87001
Besu,Baseline,27.953863
Besu,Baseline,159.646749
Besu,Baseline,179.155588
Besu,Baseline,143.903971
Besu,Baseline,37.56547
Besu,Baseline,682.924509
Besu,Baseline,24.193048
Besu,Baseline,390.668631
Besu,Baseline,255.111217
Besu,Baseline,93.861103
Besu,Baseline,87.824583
Besu,Baseline,292.066336
Besu,Baseline,22.868156
Besu,Baseline,24.64509
Besu,Baseline,219.674587
Besu,Baseline,182.573318
Besu,Baseline,438.044071
Besu,Baseline,41.813374
Besu,Baseline,175.02284
Besu,Baseline,201.116562
Besu,Baseline,310.633898
Besu,Baseline,110.131502
Besu,Baseline,138.401747
Besu,Baseline,483.752728
Besu,Baseline,26.134729
Besu,Baseline,24.725676
Besu,Baseline,18.919945
Besu,Baseline,29.928684
Besu,Baseline,20.294428
Besu,Baseline,228.372574
Besu,Baseline,100.065947
Besu,Baseline,26.662588
Besu,Baseline,23.168325
Besu,Baseline,363.408089
Besu,Baseline,152.389526
Besu,Baseline,127.064228
Besu,Baseline,243.98613
Besu,Baseline,127.093315
Besu,Baseline,28.961182
Besu,Baseline,675.10438
Besu,Baseline,29.23131
Besu,Baseline,904.506445
Besu,Baseline,310.958862
Besu,Baseline,242.77997
Besu,Baseline,20.904779
Besu,Baseline,208.183527
Besu,Baseline,338.855028
Besu,Baseline,446.211338
Besu,Baseline,379.849672
Besu,Baseline,23.649216
Besu,Baseline,147.165298
Besu,Baseline,295.314312
Besu,Baseline,164.310932
Besu,Baseline,23.09227
Besu,Baseline,28.105974
Besu,Baseline,85.306406
Besu,Baseline,54.529667
Besu,Baseline,224.034309
Besu,Baseline,19.587517
Besu,Baseline,51.748753
Besu,Baseline,179.533005
Besu,Baseline,161.818504
Besu,Baseline,25.163412
Besu,Baseline,22.116899
Besu,Baseline,197.489262
Besu,Baseline,315.184355
Besu,Baseline,68.847656
Besu,Baseline,23.578167
Besu,Baseline,209.594965
Besu,Baseline,19.553185
Besu,Baseline,49.082756
Besu,Baseline,317.019463
Besu,Baseline,21.017551
Besu,Baseline,132.659197
Besu,Baseline,68.435431
Besu,Baseline,44.55328
Besu,Baseline,26.722193
Besu,Baseline,86.941004
Besu,Baseline,353.086472
Besu,Baseline,225.100756
Besu,Baseline,34.190416
Besu,Baseline,235.221624
Besu,Baseline,184.605837
Besu,Baseline,182.243109
Besu,Baseline,184.006929
Besu,Baseline,108.303308
Besu,Baseline,27.402878
Besu,Baseline,28.344393
Besu,Baseline,408.144474
Besu,Baseline,89.943886
Besu,Baseline,349.568605
Besu,Baseline,55.839777
Besu,Baseline,19.516468
Besu,Baseline,354.888678
Besu,Baseline,396.97814
Besu,Baseline,51.012516
Besu,Baseline,20.382881
Besu,Baseline,9.984016
Besu,Baseline,15.613794
Besu,Baseline,19.502163
Besu,Baseline,26.109695
Besu,Baseline,28.898478
Besu,Baseline,39.116621
Besu,Baseline,76.049089
Besu,Baseline,46.265364
Besu,Baseline,56.510687
Besu,Baseline,95.638514
Besu,Baseline,88.718653
Besu,Baseline,52.957296
Besu,Baseline,48.455715
Besu,Baseline,25.023222
Besu,Baseline,21.083355
Besu,Baseline,97.93663
Besu,Baseline,92.128515
Besu,Baseline,117.152691
Besu,Baseline,52.366018
Besu,Baseline,109.518528
Besu,Baseline,165.56406
Besu,Baseline,181.648493
Besu,Baseline,217.879057
Besu,Baseline,213.531494
Besu,Baseline,200.413942
Besu,Baseline,187.868834
Besu,Baseline,117.723942
Besu,Baseline,217.540026
Besu,Baseline,219.933748
Besu,Baseline,73.341608
Besu,Baseline,29.33526
Besu,Baseline,215.592384
Besu,Baseline,202.279329
Besu,Baseline,77.520847
Besu,Baseline,66.38813
Besu,Baseline,23.704052
Besu,Baseline,54.12364
Besu,Baseline,24.492979
Besu,Baseline,279.425859
Besu,Baseline,20.807743
Besu,Baseline,145.214558
Besu,Baseline,78.666687
Besu,Baseline,179.777384
Besu,Baseline,163.022518
Besu,Baseline,296.68951
Besu,Baseline,77.039003
Besu,Baseline,19.171953
Besu,Baseline,45.380116
Besu,Baseline,69.807291
Besu,Baseline,66.507339
Besu,Baseline,147.538662
Besu,Baseline,34.641027
Besu,Baseline,120.945692
Besu,Baseline,428.573132
Besu,Baseline,206.261396
Besu,Baseline,25.155783
Besu,Baseline,59.733391
Besu,Baseline,338.733435
Besu,Baseline,73.881865
Besu,Baseline,336.088896
Besu,Baseline,75.17767
Besu,Baseline,401.108265
Besu,Baseline,358.49762
Besu,Baseline,164.717197
Besu,Baseline,26.247025
Besu,Baseline,47.672272
Besu,Baseline,25.119543
Besu,Baseline,46.7453
Besu,Baseline,193.358183
Besu,Baseline,94.699621
Besu,Baseline,50.598383
Besu,Baseline,168.761969
Besu,Baseline,376.585722
Besu,Baseline,29.3293
Besu,Baseline,411.961079
Besu,Baseline,24.332047
Besu,Baseline,209.627867
Besu,Baseline,244.418144
Besu,Baseline,19.522667
Besu,Baseline,24.568319
Besu,Baseline,48.900604
Besu,Baseline,31.28767
Besu,Baseline,27.663946
Besu,Baseline,256.252766
Besu,Baseline,232.087851
Besu,Baseline,24.093151
Besu,Baseline,189.497709
Besu,Baseline,178.278208
Besu,Baseline,84.874153
Besu,Baseline,510.958195
Besu,Baseline,190.958977
Besu,Baseline,49.086332
Besu,Baseline,466.470957
Besu,Baseline,240.040302
Besu,Baseline,242.174864
Besu,Baseline,128.050566
Besu,Baseline,36.646366
Besu,Baseline,98.573685
Besu,Baseline,31.416893
Besu,Baseline,64.911366
Besu,Baseline,43.336153
Besu,Baseline,317.770481
Besu,Baseline,375.074148
Besu,Baseline,29.989958
Besu,Baseline,416.76259
Besu,Baseline,147.928715
Besu,Baseline,194.664478
Besu,Baseline,330.79958
Besu,Baseline,63.036203
Besu,Baseline,20.207405
Besu,Baseline,16.670942
Besu,Baseline,33.279181
Besu,Baseline,46.980619
Besu,Baseline,22.451162
Besu,Baseline,77.527046
Besu,Baseline,59.874296
Besu,Baseline,50.240993
Besu,Baseline,107.424974
Besu,Baseline,23.036718
Besu,Baseline,116.1201
Besu,Baseline,147.471189
Besu,Baseline,27.25625
Besu,Baseline,163.784266
Besu,Baseline,150.210381
Besu,Baseline,111.179113
Besu,Baseline,157.763958
Besu,Baseline,141.862631
Besu,Baseline,123.638391
Besu,Baseline,190.241098
Besu,Baseline,47.500134
Besu,Baseline,220.608711
Besu,Baseline,184.812307
Besu,Baseline,153.576374
Besu,Baseline,227.237463
Besu,Baseline,36.445618
Besu,Baseline,203.86672
Besu,Baseline,23.259163
Besu,Baseline,209.935427
