block_num,last_mode,tx_count,warm_hits,sched_us,g0,g1,g2,alloc_mb
1,DISABLED,1,0,0,0,0,0,34.315
2,DISABLED,1,0,0,0,0,0,9.537
3,DISABLED,1,0,0,0,0,0,17.147
4,DISABLED,1,0,0,0,0,0,8.716
5,DISABLED,1,0,0,0,0,0,8.493
6,DISABLED,1,0,0,0,0,0,0.148
7,DISABLED,1,0,0,0,0,0,0.054
8,DISABLED,1,0,0,0,0,0,0.195
9,DISABLED,1,0,0,0,0,0,0.133
10,DISABLED,1,0,0,0,0,0,0.061
11,DISABLED,1,0,0,0,0,0,0.407
12,DISABLED,1,0,0,0,0,0,0.064
13,DISABLED,1,0,0,0,0,0,0.117
14,DISABLED,1,0,0,0,0,0,0.546
15,DISABLED,1,0,0,0,0,0,0.413
16,DISABLED,1,0,0,0,0,0,0.055
17,DISABLED,1,0,0,0,0,0,0.070
18,DISABLED,1,0,0,0,0,0,0.101
19,DISABLED,1,0,0,0,0,0,0.062
20,DISABLED,1,0,0,0,0,0,0.423
21,DISABLED,1,0,0,0,0,0,0.479
22,DISABLED,1,0,0,0,0,0,0.485
23,DISABLED,1,0,0,0,0,0,0.078
24,DISABLED,1,0,0,0,0,0,0.132
25,DISABLED,1,0,0,0,0,0,0.211
26,DISABLED,1,0,0,0,0,0,0.078
27,DISABLED,1,0,0,0,0,0,0.063
28,DISABLED,1,0,0,0,0,0,0.439
29,DISABLED,1,0,0,0,0,0,0.471
30,DISABLED,1,0,0,0,0,0,0.422
31,DISABLED,22,0,0,0,0,0,1.848
32,DISABLED,29,0,0,0,0,0,1.601
33,DISABLED,27,0,0,0,0,0,0.264
34,DISABLED,25,0,0,0,0,0,0.673
35,DISABLED,23,0,0,0,0,0,0.264
36,DISABLED,30,0,0,0,0,0,1.474
37,DISABLED,30,0,0,0,0,0,0.725
38,DISABLED,30,0,0,0,0,0,0.343
39,DISABLED,30,0,0,0,0,0,0.265
40,DISABLED,30,0,0,0,0,0,0.267
41,DISABLED,30,0,0,0,0,0,1.774
42,DISABLED,30,0,0,0,0,0,0.303
43,DISABLED,30,0,0,0,0,0,0.625
44,DISABLED,30,0,0,0,0,0,0.268
45,DISABLED,30,0,0,0,0,0,0.270
46,DISABLED,30,0,0,0,0,0,1.991
47,DISABLED,30,0,0,0,0,0,0.624
48,DISABLED,30,0,0,0,0,0,0.288
49,DISABLED,30,0,0,0,0,0,0.264
50,DISABLED,30,0,0,0,0,0,0.374
