block_num,last_mode,tx_count,warm_hits,sched_us,g0,g1,g2,alloc_mb
1,AL,1,0,9053,0,0,0,34.620
2,AL,1,0,230,0,0,0,9.548
3,AL,1,0,59,0,0,0,0.669
4,AL,1,0,75,0,0,0,16.859
5,AL,1,0,61,0,0,0,8.514
6,AL,1,0,66,0,0,0,8.507
7,AL,1,0,53,0,0,0,0.070
8,AL,1,0,52,0,0,0,0.437
9,AL,1,0,64,0,0,0,0.070
10,AL,1,0,89,0,0,0,0.481
11,AL,1,0,51,0,0,0,0.046
12,AL,1,0,59,0,0,0,0.070
13,AL,1,0,88,0,0,0,0.444
14,AL,1,0,104,0,0,0,0.070
15,AL,1,0,135,0,0,0,0.054
16,AL,1,0,60,0,0,0,0.126
17,AL,1,0,66,0,0,0,0.078
18,AL,1,0,73,0,0,0,0.086
19,AL,1,0,70,0,0,0,0.070
20,AL,1,0,65,0,0,0,0.131
21,AL,1,0,102,0,0,0,0.489
22,AL,1,0,54,0,0,0,0.488
23,AL,1,0,56,0,0,0,0.451
24,AL,1,0,65,0,0,0,0.250
25,AL,1,0,57,0,0,0,0.078
26,AL,1,0,93,0,0,0,0.070
27,AL,1,0,63,0,0,0,0.133
28,AL,1,0,57,0,0,0,0.439
29,AL,1,0,86,0,0,0,0.063
30,AL,1,0,68,0,0,0,0.414
31,AL,6,5,1371,0,0,0,1.233
32,AL,29,28,618,0,0,0,2.345
33,AL,27,26,202,0,0,0,0.631
34,AL,25,24,167,0,0,0,0.273
35,AL,23,22,294,0,0,0,0.272
36,AL,30,28,317,0,0,0,0.881
37,AL,30,28,169,0,0,0,0.896
38,AL,30,28,107,0,0,0,0.280
39,AL,30,28,166,0,0,0,0.270
40,AL,30,28,111,0,0,0,0.281
41,AL,30,28,147,0,0,0,0.990
42,AL,30,28,152,0,0,0,1.004
43,AL,30,28,111,0,0,0,0.281
44,AL,30,28,115,0,0,0,0.280
45,AL,30,28,129,0,0,0,0.276
46,AL,30,28,112,0,0,0,1.275
47,AL,30,28,113,0,0,0,1.437
48,AL,30,28,136,0,0,0,0.605
49,AL,30,28,124,0,0,0,0.287
50,AL,30,28,100,0,0,0,0.685
51,AL,30,28,107,0,0,0,1.767
52,AL,30,28,117,0,0,0,0.826
53,AL,30,28,120,0,0,0,0.286
54,AL,30,28,122,0,0,0,0.272
55,AL,30,28,97,0,0,0,0.288
56,AL,30,28,91,0,0,0,2.284
57,AL,30,28,100,0,0,0,0.762
58,AL,30,28,105,0,0,0,0.280
59,AL,30,28,102,0,0,0,0.267
60,AL,30,28,99,0,0,0,0.281
61,AL,30,28,100,0,0,0,2.518
62,AL,30,28,104,0,0,0,1.169
63,AL,30,28,96,0,0,0,0.631
64,AL,30,28,120,0,0,0,0.345
65,AL,30,28,103,0,0,0,0.613
66,AL,30,28,123,0,0,0,2.610
67,AL,30,28,180,0,0,0,0.639
68,AL,30,28,74,0,0,0,0.272
69,AL,30,28,85,0,0,0,0.283
70,AL,30,28,89,0,0,0,0.281
71,AL,30,28,72,0,0,0,2.864
72,AL,30,28,79,0,0,0,0.382
73,AL,30,28,85,0,0,0,0.280
74,AL,30,28,76,0,0,0,0.272
75,AL,30,28,72,0,0,0,0.280
76,AL,30,28,96,0,0,0,2.970
77,AL,30,28,82,0,0,0,0.686
78,AL,30,28,74,0,0,0,0.288
79,AL,30,28,79,0,0,0,0.273
80,AL,30,28,90,0,0,0,0.280
81,AL,30,28,82,0,0,0,2.938
82,AL,30,28,86,0,0,0,0.657
83,AL,30,28,73,0,0,0,0.303
84,AL,30,28,70,0,0,0,0.296
85,AL,30,28,77,0,0,0,0.283
86,AL,30,28,98,0,0,0,2.841
87,AL,30,28,74,0,0,0,0.311
88,AL,30,28,86,0,0,0,0.273
89,AL,30,28,70,0,0,0,0.280
90,AL,30,28,93,0,0,0,0.288
91,AL,30,28,74,0,0,0,2.851
92,AL,30,28,71,0,0,0,0.753
93,AL,30,28,70,0,0,0,0.296
94,AL,30,28,70,0,0,0,0.280
95,AL,30,28,79,0,0,0,0.292
96,AL,30,28,71,0,0,0,2.848
97,AL,30,28,70,0,0,0,0.304
98,AL,30,28,70,0,0,0,0.295
99,AL,30,28,73,0,0,0,0.269
100,AL,30,28,68,0,0,0,0.319
101,AL,30,28,72,0,0,0,2.859
102,AL,30,28,75,0,0,0,0.303
103,AL,30,28,80,0,0,0,0.276
104,AL,30,28,72,0,0,0,0.280
105,AL,30,28,74,0,0,0,0.290
106,AL,30,28,95,0,0,0,2.839
107,AL,30,28,91,0,0,0,0.716
108,AL,30,28,202,0,0,0,0.288
109,AL,30,28,79,0,0,0,0.272
110,AL,30,28,77,0,0,0,0.328
111,AL,30,28,92,0,0,0,2.890
112,AL,30,28,93,0,0,0,0.309
113,AL,30,28,100,0,0,0,0.288
114,AL,30,28,95,0,0,0,0.285
115,AL,30,28,70,0,0,0,0.538
116,AL,30,28,82,0,0,0,2.640
117,AL,30,28,100,0,0,0,0.311
118,AL,30,28,72,0,0,0,0.272
119,AL,30,28,75,0,0,0,0.289
120,AL,30,28,74,0,0,0,0.678
121,AL,30,28,108,0,0,0,2.463
122,AL,30,28,71,0,0,0,0.708
123,AL,30,28,73,0,0,0,0.296
124,AL,30,28,107,0,0,0,0.280
125,AL,30,28,97,0,0,0,0.881
126,AL,30,28,73,0,0,0,2.243
127,AL,30,28,72,0,0,0,0.319
128,AL,30,28,73,0,0,0,0.275
129,AL,30,28,80,0,0,0,0.277
130,AL,30,28,73,0,0,0,1.002
131,AL,30,28,88,0,0,0,2.143
132,AL,30,28,79,0,0,0,0.319
133,AL,30,28,126,0,0,0,0.280
134,AL,30,28,104,0,0,0,0.283
135,AL,30,28,73,0,0,0,1.351
136,AL,30,28,93,0,0,0,2.064
137,AL,30,28,74,0,0,0,0.748
138,AL,30,28,106,0,0,0,0.288
139,AL,30,28,91,0,0,0,0.296
140,AL,30,28,129,0,0,0,1.297
141,AL,30,28,77,0,0,0,1.846
142,AL,30,28,75,0,0,0,0.327
143,AL,30,28,83,0,0,0,0.281
144,AL,30,28,78,0,0,0,0.272
145,AL,30,28,70,0,0,0,1.414
146,AL,30,28,83,0,0,0,1.742
147,AL,30,28,77,0,0,0,0.314
148,AL,30,28,82,0,0,0,0.273
149,AL,30,28,100,0,0,0,0.296
150,AL,30,28,68,0,0,0,1.475
151,AL,30,28,81,0,0,0,1.666
152,AL,30,28,96,0,0,0,0.724
153,AL,30,28,68,0,0,0,0.280
154,AL,30,28,73,0,0,0,0.299
155,AL,30,28,72,0,0,0,1.587
156,AL,30,28,77,0,0,0,1.557
157,AL,30,28,111,0,0,0,0.311
158,AL,30,28,86,0,0,0,0.280
159,AL,30,28,82,0,0,0,0.289
160,AL,30,28,69,0,0,0,1.753
161,AL,30,28,79,0,0,0,1.386
162,AL,30,28,81,0,0,0,0.319
163,AL,30,28,75,0,0,0,0.281
164,AL,30,28,83,0,0,0,0.278
165,AL,30,28,99,0,0,0,1.847
166,AL,30,28,70,0,0,0,1.308
167,AL,30,28,80,0,0,0,0.749
168,AL,30,28,72,0,0,0,0.280
169,AL,30,28,71,0,0,0,0.288
170,AL,30,28,73,0,0,0,2.111
171,AL,30,28,80,0,0,0,1.021
172,AL,30,28,76,0,0,0,0.319
173,AL,30,28,76,0,0,0,0.280
174,AL,30,28,82,0,0,0,0.284
175,AL,30,28,78,0,0,0,2.244
176,AL,30,28,75,0,0,0,0.903
177,AL,30,28,114,0,0,0,0.319
178,AL,30,28,88,0,0,0,0.276
179,AL,30,28,76,0,0,0,0.280
180,AL,30,28,81,0,0,0,2.389
181,AL,30,28,88,0,0,0,0.779
182,AL,30,28,82,0,0,0,0.802
183,AL,30,28,111,0,0,0,0.280
184,AL,30,28,122,0,0,0,0.287
185,AL,30,28,76,0,0,0,2.429
186,AL,30,28,94,0,0,0,0.708
187,AL,30,28,89,0,0,0,0.319
188,AL,30,28,90,0,0,0,0.296
189,AL,30,28,85,0,0,0,0.280
190,AL,30,28,70,0,0,0,2.629
191,AL,30,28,74,0,0,0,0.514
192,AL,30,28,72,0,0,0,0.323
193,AL,30,28,110,0,0,0,0.288
194,AL,30,28,87,0,0,0,0.289
195,AL,30,28,72,0,0,0,2.870
196,AL,30,28,94,0,0,0,0.268
197,AL,30,28,78,0,0,0,0.774
198,AL,30,28,78,0,0,0,0.692
199,AL,30,28,81,0,0,0,0.297
200,AL,30,28,75,0,0,0,2.847
201,AL,30,28,75,0,0,0,0.351
202,AL,30,28,72,0,0,0,0.318
203,AL,30,28,76,0,0,0,0.288
204,AL,30,28,113,0,0,0,0.289
205,AL,30,28,103,0,0,0,2.865
206,AL,30,28,81,0,0,0,0.280
207,AL,30,28,80,0,0,0,0.317
208,AL,30,28,87,0,0,0,0.295
209,AL,30,28,90,0,0,0,0.288
210,AL,30,28,70,0,0,0,2.962
211,AL,30,28,82,0,0,0,0.280
212,AL,30,28,146,0,0,0,0.717
213,AL,30,28,88,0,0,0,0.280
214,AL,30,28,78,0,0,0,0.290
215,AL,30,28,69,0,0,0,2.980
216,AL,30,28,71,0,0,0,0.280
217,AL,30,28,82,0,0,0,0.318
218,AL,30,28,84,0,0,0,0.294
219,AL,30,28,118,0,0,0,0.275
220,AL,30,28,79,0,0,0,2.892
221,AL,30,28,92,0,0,0,0.288
222,AL,30,28,78,0,0,0,0.311
223,AL,30,28,97,0,0,0,0.290
224,AL,30,28,79,0,0,0,0.284
225,AL,30,28,78,0,0,0,2.866
226,AL,30,28,85,0,0,0,0.291
227,AL,30,28,82,0,0,0,0.698
228,AL,30,28,80,0,0,0,0.304
229,AL,30,28,103,0,0,0,0.429
230,AL,30,28,81,0,0,0,2.721
231,AL,30,28,73,0,0,0,0.287
232,AL,30,28,85,0,0,0,0.319
233,AL,30,28,121,0,0,0,0.286
234,AL,30,28,91,0,0,0,0.651
235,AL,30,28,107,0,0,0,2.501
236,AL,30,28,135,0,0,0,0.280
237,AL,30,28,78,0,0,0,0.320
238,AL,30,28,92,0,0,0,0.303
239,AL,30,28,113,0,0,0,0.931
240,AL,30,28,92,0,0,0,2.321
241,AL,30,28,86,0,0,0,0.295
242,AL,30,28,103,0,0,0,0.799
243,AL,30,28,78,0,0,0,0.287
244,AL,30,28,111,0,0,0,1.019
245,AL,30,28,99,0,0,0,2.123
246,AL,30,28,79,0,0,0,0.697
247,AL,30,28,73,0,0,0,0.327
248,AL,30,28,84,0,0,0,0.295
249,AL,30,28,70,0,0,0,1.055
250,AL,30,28,69,0,0,0,2.094
251,AL,30,28,83,0,0,0,0.288
252,AL,30,28,107,0,0,0,0.312
253,AL,30,28,81,0,0,0,0.302
254,AL,30,28,75,0,0,0,1.230
255,AL,30,28,73,0,0,0,2.519
256,AL,30,28,83,0,0,0,0.291
257,AL,30,28,82,0,0,0,0.750
258,AL,30,28,75,0,0,0,0.288
259,AL,30,28,78,0,0,0,1.410
260,AL,30,28,74,0,0,0,1.738
261,AL,30,28,82,0,0,0,0.296
262,AL,30,28,72,0,0,0,0.318
263,AL,30,28,105,0,0,0,0.291
264,AL,30,28,71,0,0,0,1.415
265,AL,30,28,78,0,0,0,1.748
266,AL,30,28,76,0,0,0,0.288
267,AL,30,28,72,0,0,0,0.319
268,AL,30,28,71,0,0,0,0.288
269,AL,30,28,68,0,0,0,1.551
270,AL,30,28,79,0,0,0,1.621
271,AL,30,28,71,0,0,0,0.304
272,AL,30,28,72,0,0,0,0.740
273,AL,30,28,72,0,0,0,0.300
274,AL,30,28,69,0,0,0,1.763
275,AL,30,28,80,0,0,0,1.469
276,AL,30,28,70,0,0,0,0.302
277,AL,30,28,85,0,0,0,0.666
278,AL,30,28,84,0,0,0,0.288
