block_num,last_mode,tx_count,warm_hits,sched_us,g0,g1,g2,alloc_mb
1,HFL_9_1,1,0,15461,0,0,0,35.015
2,HFL_9_1,1,0,265,0,0,0,9.559
3,HFL_9_1,1,0,94,0,0,0,0.560
4,HFL_9_1,1,0,90,0,0,0,16.877
5,HFL_9_1,1,0,94,0,0,0,8.498
6,HFL_9_1,1,0,98,0,0,0,8.508
7,HFL_9_1,1,0,83,0,0,0,0.445
8,HFL_9_1,1,0,87,0,0,0,0.133
9,HFL_9_1,1,0,96,0,0,0,0.496
10,HFL_9_1,1,0,98,0,0,0,0.409
11,HFL_9_1,1,0,130,0,0,0,0.063
12,HFL_9_1,1,0,101,0,0,0,0.101
13,HFL_9_1,1,0,79,0,0,0,0.056
14,HFL_9_1,1,0,215,0,0,0,0.062
15,HFL_9_1,1,0,88,0,0,0,0.070
16,HFL_9_1,1,0,117,0,0,0,0.055
17,HFL_9_1,1,0,81,0,0,0,0.101
18,HFL_9_1,1,0,145,0,0,0,0.070
19,HFL_9_1,1,0,99,0,0,0,0.133
20,HFL_9_1,1,0,85,0,0,0,0.092
21,HFL_9_1,1,0,95,0,0,0,0.475
22,HFL_9_1,1,0,102,0,0,0,0.840
23,HFL_9_1,1,0,113,0,0,0,0.482
24,HFL_9_1,1,0,87,0,0,0,0.571
25,HFL_9_1,1,0,103,0,0,0,0.133
26,HFL_9_1,1,0,83,0,0,0,0.424
27,HFL_9_1,1,0,105,0,0,0,0.109
28,HFL_9_1,1,0,106,0,0,0,0.070
29,HFL_9_1,1,0,106,0,0,0,0.117
30,HFL_9_1,1,0,106,0,0,0,0.062
31,HFL_9_1,30,29,1531,0,0,0,2.059
32,HFL_9_1,29,28,192,0,0,0,1.063
33,HFL_9_1,27,26,208,0,0,0,0.755
34,HFL_9_1,25,24,169,0,0,0,0.288
35,HFL_9_1,23,22,256,0,0,0,0.280
36,HFL_9_1,30,28,1479,0,0,0,1.463
37,HFL_9_1,30,28,254,0,0,0,0.315
38,HFL_9_1,30,28,193,0,0,0,0.701
39,HFL_9_1,30,28,200,0,0,0,0.624
40,HFL_9_1,30,28,178,0,0,0,0.273
41,HFL_9_1,30,28,197,0,0,0,2.118
42,HFL_9_1,30,28,188,0,0,0,0.323
43,HFL_9_1,30,27,333,0,0,0,0.491
44,HFL_9_1,30,27,257,0,0,0,0.272
45,HFL_9_1,30,27,165,0,0,0,0.499
46,HFL_9_1,30,27,234,0,0,0,1.777
47,HFL_9_1,30,27,179,0,0,0,0.390
48,HFL_9_1,30,27,168,0,0,0,0.165
49,HFL_9_1,30,27,156,0,0,0,0.268
50,HFL_9_1,30,27,146,0,0,0,0.538
51,HFL_9_1,30,27,149,0,0,0,2.266
52,HFL_9_1,30,26,174,0,0,0,0.503
53,HFL_9_1,30,26,157,0,0,0,0.283
54,HFL_9_1,30,26,197,0,0,0,0.301
55,HFL_9_1,30,26,149,0,0,0,0.632
56,HFL_9_1,30,26,161,0,0,0,2.392
57,HFL_9_1,30,26,164,0,0,0,0.311
58,HFL_9_1,30,26,156,0,0,0,0.273
59,HFL_9_1,30,26,158,0,0,0,0.304
60,HFL_9_1,30,26,174,0,0,0,0.891
61,HFL_9_1,30,25,210,0,0,0,2.229
62,HFL_9_1,30,25,177,0,0,0,0.805
63,HFL_9_1,30,25,169,0,0,0,0.352
64,HFL_9_1,30,25,192,0,0,0,0.280
65,HFL_9_1,30,25,178,0,0,0,1.289
66,HFL_9_1,30,25,168,0,0,0,2.065
67,HFL_9_1,30,25,111,0,0,0,0.674
68,HFL_9_1,30,25,113,0,0,0,0.286
69,HFL_9_1,30,24,127,0,0,0,0.499
70,HFL_9_1,30,24,140,0,0,0,1.068
71,HFL_9_1,30,24,108,0,0,0,1.954
72,HFL_9_1,30,24,120,0,0,0,0.311
73,HFL_9_1,30,24,116,0,0,0,0.288
74,HFL_9_1,30,24,122,0,0,0,0.280
75,HFL_9_1,30,24,161,0,0,0,1.327
76,HFL_9_1,30,24,120,0,0,0,1.904
77,HFL_9_1,30,23,156,0,0,0,0.557
78,HFL_9_1,30,23,141,0,0,0,0.300
79,HFL_9_1,30,23,123,0,0,0,0.282
80,HFL_9_1,30,23,186,0,0,0,1.797
81,HFL_9_1,30,23,649,0,0,0,1.759
82,HFL_9_1,30,23,115,0,0,0,0.312
83,HFL_9_1,30,23,117,0,0,0,0.281
84,HFL_9_1,30,24,124,0,0,0,0.288
85,HFL_9_1,30,23,112,0,0,0,1.777
86,HFL_9_1,30,23,103,0,0,0,1.638
87,HFL_9_1,30,23,114,0,0,0,0.327
88,HFL_9_1,30,23,145,0,0,0,0.280
89,HFL_9_1,30,23,120,0,0,0,0.280
90,HFL_9_1,30,24,148,0,0,0,1.706
91,HFL_9_1,30,24,109,0,0,0,1.449
92,HFL_9_1,30,24,102,0,0,0,0.311
93,HFL_9_1,30,24,103,0,0,0,0.283
94,HFL_9_1,30,24,114,0,0,0,0.312
95,HFL_9_1,30,24,131,0,0,0,1.835
96,HFL_9_1,30,24,113,0,0,0,1.299
97,HFL_9_1,30,24,107,0,0,0,0.327
98,HFL_9_1,30,24,110,0,0,0,0.276
99,HFL_9_1,30,24,101,0,0,0,0.288
100,HFL_9_1,30,24,126,0,0,0,1.931
101,HFL_9_1,30,25,119,0,0,0,1.581
102,HFL_9_1,30,24,96,0,0,0,0.584
103,HFL_9_1,30,24,99,0,0,0,0.280
104,HFL_9_1,30,24,101,0,0,0,0.288
105,HFL_9_1,30,24,106,0,0,0,2.045
106,HFL_9_1,30,24,150,0,0,0,1.114
107,HFL_9_1,30,24,106,0,0,0,0.311
108,HFL_9_1,30,24,124,0,0,0,0.283
109,HFL_9_1,30,25,107,0,0,0,0.293
110,HFL_9_1,30,24,127,0,0,0,2.407
111,HFL_9_1,30,24,120,0,0,0,1.068
112,HFL_9_1,30,24,114,0,0,0,0.313
113,HFL_9_1,30,24,119,0,0,0,0.280
