block_num,last_mode,tx_count,warm_hits,sched_us,g0,g1,g2,alloc_mb
1,DISABLED,1,0,0,0,0,0,34.305
2,DISABLED,12,0,0,0,0,0,5.517
3,DISABLED,12,0,0,0,0,0,16.714
4,DISABLED,5,0,0,0,0,0,5.079
5,DISABLED,13,0,0,0,0,0,3.238
6,DISABLED,47,0,0,0,0,0,17.365
7,DISABLED,104,0,0,0,0,0,31.697
8,DISABLED,120,0,0,0,0,0,40.051
9,DISABLED,193,0,0,0,0,0,45.399
10,DISABLED,186,0,0,0,0,0,98.757
11,DISABLED,308,0,0,1,1,1,74.512
12,DISABLED,261,0,0,0,0,0,128.248
13,DISABLED,354,0,0,0,0,0,101.504
14,DISABLED,243,0,0,1,0,0,188.536
15,DISABLED,333,0,0,0,0,0,97.945
16,DISABLED,210,0,0,0,0,0,164.508
17,DISABLED,69,0,0,0,0,0,180.645
18,DISABLED,48,0,0,0,0,0,68.480
19,DISABLED,33,0,0,0,0,0,47.581
20,DISABLED,39,0,0,0,0,0,35.349
21,DISABLED,39,0,0,0,0,0,39.329
22,DISABLED,42,0,0,0,0,0,38.703
23,DISABLED,30,0,0,0,0,0,40.805
24,DISABLED,42,0,0,0,0,0,33.376
25,DISABLED,40,0,0,0,0,0,42.489
26,DISABLED,38,0,0,0,0,0,42.602
27,DISABLED,38,0,0,0,0,0,41.150
28,DISABLED,36,0,0,0,0,0,40.815
29,DISABLED,46,0,0,0,0,0,41.327
30,DISABLED,30,0,0,0,0,0,48.600
31,DISABLED,39,0,0,0,0,0,41.363
32,DISABLED,43,0,0,0,0,0,45.370
33,DISABLED,38,0,0,0,0,0,53.162
34,DISABLED,39,0,0,0,0,0,42.852
35,DISABLED,39,0,0,0,0,0,46.341
36,DISABLED,42,0,0,0,0,0,44.978
37,DISABLED,30,0,0,0,0,0,44.349
38,DISABLED,40,0,0,0,0,0,34.381
39,DISABLED,40,0,0,0,0,0,44.976
40,DISABLED,40,0,0,0,0,0,46.623
41,DISABLED,39,0,0,0,0,0,45.044
42,DISABLED,56,0,0,2,2,1,44.476
43,DISABLED,116,0,0,0,0,0,22.499
44,DISABLED,50,0,0,0,0,0,109.545
45,DISABLED,40,0,0,0,0,0,54.169
46,DISABLED,38,0,0,0,0,0,42.568
47,DISABLED,32,0,0,0,0,0,41.406
48,DISABLED,40,0,0,0,0,0,36.773
49,DISABLED,39,0,0,0,0,0,42.246
50,DISABLED,39,0,0,0,0,0,43.254
51,DISABLED,31,0,0,0,0,0,41.345
52,DISABLED,40,0,0,0,0,0,36.397
53,DISABLED,39,0,0,0,0,0,48.968
54,DISABLED,40,0,0,0,0,0,41.239
55,DISABLED,31,0,0,0,0,0,41.603
56,DISABLED,41,0,0,0,0,0,35.081
57,DISABLED,40,0,0,0,0,0,42.428
58,DISABLED,38,0,0,0,0,0,45.633
59,DISABLED,32,0,0,0,0,0,42.002
60,DISABLED,40,0,0,0,0,0,38.123
61,DISABLED,40,0,0,0,0,0,47.077
62,DISABLED,38,0,0,0,0,0,47.062
63,DISABLED,35,0,0,0,0,0,45.297
64,DISABLED,38,0,0,0,0,0,40.678
65,DISABLED,41,0,0,0,0,0,43.530
66,DISABLED,36,0,0,0,0,0,48.958
67,DISABLED,40,0,0,0,0,0,48.944
68,DISABLED,40,0,0,0,0,0,53.304
69,DISABLED,40,0,0,0,0,0,51.187
70,DISABLED,33,0,0,0,0,0,48.323
71,DISABLED,39,0,0,0,0,0,39.423
72,DISABLED,40,0,0,0,0,0,43.232
73,DISABLED,38,0,0,0,0,0,49.120
74,DISABLED,33,0,0,0,0,0,42.439
75,DISABLED,40,0,0,0,0,0,44.800
76,DISABLED,44,0,0,0,0,0,49.767
77,DISABLED,33,0,0,0,0,0,56.688
78,DISABLED,38,0,0,0,0,0,43.418
79,DISABLED,36,0,0,0,0,0,44.960
80,DISABLED,44,0,0,0,0,0,43.569
81,DISABLED,47,0,0,1,0,0,33.168
82,DISABLED,104,0,0,0,0,0,44.482
83,DISABLED,48,0,0,0,0,0,111.684
84,DISABLED,39,0,0,0,0,0,54.815
85,DISABLED,36,0,0,0,0,0,43.947
86,DISABLED,42,0,0,0,0,0,40.282
87,DISABLED,33,0,0,0,0,0,50.914
88,DISABLED,38,0,0,0,0,0,43.753
89,DISABLED,36,0,0,0,0,0,43.340
90,DISABLED,43,0,0,0,0,0,44.058
91,DISABLED,33,0,0,0,0,0,55.944
92,DISABLED,40,0,0,0,0,0,39.554
93,DISABLED,40,0,0,0,0,0,48.729
94,DISABLED,40,0,0,0,0,0,49.874
95,DISABLED,30,0,0,0,0,0,48.485
96,DISABLED,42,0,0,0,0,0,36.078
97,DISABLED,40,0,0,0,0,0,52.727
98,DISABLED,38,0,0,0,0,0,47.864
99,DISABLED,35,0,0,0,0,0,48.635
100,DISABLED,38,0,0,0,0,0,41.867
101,DISABLED,44,0,0,0,0,0,50.222
102,DISABLED,33,0,0,0,0,0,50.036
103,DISABLED,42,0,0,0,0,0,38.148
104,DISABLED,46,0,0,0,0,0,52.060
105,DISABLED,35,0,0,0,0,0,52.622
106,DISABLED,39,0,0,0,0,0,42.222
107,DISABLED,42,0,0,0,0,0,45.683
108,DISABLED,36,0,0,0,0,0,44.841
109,DISABLED,39,0,0,0,0,0,43.533
110,DISABLED,38,0,0,0,0,0,47.547
111,DISABLED,43,0,0,0,0,0,49.348
112,DISABLED,30,0,0,0,0,0,50.498
113,DISABLED,42,0,0,0,0,0,37.415
114,DISABLED,40,0,0,0,0,0,46.300
115,DISABLED,38,0,0,0,0,0,45.927
116,DISABLED,39,0,0,0,0,0,42.257
117,DISABLED,36,0,0,0,0,0,45.078
118,DISABLED,45,0,0,0,0,0,41.495
119,DISABLED,30,0,0,0,0,0,55.269
120,DISABLED,41,0,0,0,0,0,39.099
121,DISABLED,41,0,0,0,0,0,49.599
122,DISABLED,38,0,0,0,0,0,49.720
123,DISABLED,40,0,0,0,0,0,44.471
124,DISABLED,40,0,0,0,0,0,48.772
125,DISABLED,40,0,0,0,0,0,46.647
126,DISABLED,40,0,0,0,0,0,49.202
127,DISABLED,41,0,0,0,0,0,46.528
128,DISABLED,39,0,0,0,0,0,53.195
129,DISABLED,36,0,0,0,0,0,45.910
130,DISABLED,38,0,0,0,0,0,43.283
131,DISABLED,46,0,0,0,0,0,45.112
132,DISABLED,30,0,0,0,0,0,54.463
133,DISABLED,41,0,0,0,0,0,45.915
134,DISABLED,41,0,0,0,0,0,45.376
135,DISABLED,38,0,0,0,0,0,47.994
136,DISABLED,38,0,0,0,0,0,52.779
137,DISABLED,42,0,0,0,0,0,52.819
138,DISABLED,40,0,0,0,0,0,54.077
