block_num,last_mode,tx_count,warm_hits,sched_us,g0,g1,g2,alloc_mb
1,DISABLED,7,0,0,0,0,0,34.193
2,DISABLED,13,0,0,0,0,0,13.376
3,DISABLED,10,0,0,0,0,0,5.305
4,DISABLED,4,0,0,0,0,0,6.994
5,DISABLED,51,0,0,0,0,0,12.896
6,DISABLED,116,0,0,0,0,0,43.361
7,DISABLED,142,0,0,0,0,0,43.500
8,DISABLED,245,0,0,0,0,0,59.381
9,DISABLED,253,0,0,1,1,1,111.838
10,DISABLED,358,0,0,0,0,0,92.260
11,DISABLED,240,0,0,2,1,1,175.709
12,DISABLED,327,0,0,0,0,0,96.508
13,DISABLED,197,0,0,0,0,0,153.216
14,DISABLED,79,0,0,0,0,0,158.813
15,DISABLED,49,0,0,0,0,0,81.607
16,DISABLED,38,0,0,0,0,0,51.857
17,DISABLED,40,0,0,0,0,0,41.811
18,DISABLED,38,0,0,0,0,0,40.997
19,DISABLED,39,0,0,0,0,0,41.739
20,DISABLED,35,0,0,0,0,0,40.704
21,DISABLED,38,0,0,0,0,0,37.405
22,DISABLED,41,0,0,0,0,0,37.665
23,DISABLED,37,0,0,0,0,0,41.043
24,DISABLED,41,0,0,0,0,0,37.422
25,DISABLED,40,0,0,0,0,0,40.712
26,DISABLED,38,0,0,0,0,0,41.192
27,DISABLED,36,0,0,0,0,0,39.379
28,DISABLED,40,0,0,0,0,0,41.388
29,DISABLED,43,0,0,0,0,0,42.543
30,DISABLED,32,0,0,0,0,0,44.257
31,DISABLED,41,0,0,0,0,0,39.947
32,DISABLED,43,0,0,0,0,0,49.005
33,DISABLED,35,0,0,0,0,0,46.279
34,DISABLED,38,0,0,0,0,0,42.174
35,DISABLED,39,0,0,0,0,0,41.430
36,DISABLED,42,0,0,0,0,0,45.377
37,DISABLED,32,0,0,0,0,0,48.659
38,DISABLED,41,0,0,0,0,0,39.618
39,DISABLED,54,0,0,1,1,0,30.975
40,DISABLED,97,0,0,0,0,0,39.853
41,DISABLED,45,0,0,0,0,0,95.501
42,DISABLED,39,0,0,0,0,0,47.400
43,DISABLED,39,0,0,0,0,0,43.870
44,DISABLED,38,0,0,0,0,0,44.077
45,DISABLED,34,0,0,0,0,0,42.781
46,DISABLED,39,0,0,0,0,0,38.934
47,DISABLED,38,0,0,0,0,0,42.064
48,DISABLED,39,0,0,0,0,0,42.560
49,DISABLED,37,0,0,0,0,0,45.274
50,DISABLED,40,0,0,0,0,0,40.884
51,DISABLED,43,0,0,0,0,0,45.671
52,DISABLED,37,0,0,0,0,0,45.947
53,DISABLED,39,0,0,0,0,0,39.734
54,DISABLED,39,0,0,0,0,0,43.353
55,DISABLED,35,0,0,0,0,0,45.063
56,DISABLED,37,0,0,0,0,0,39.439
57,DISABLED,40,0,0,0,0,0,43.281
58,DISABLED,42,0,0,0,0,0,40.848
59,DISABLED,32,0,0,0,0,0,44.833
60,DISABLED,40,0,0,0,0,0,36.734
61,DISABLED,38,0,0,0,0,0,43.297
