block_num,last_mode,tx_count,warm_hits,sched_us,g0,g1,g2,alloc_mb
1,AL,3,2,9317,0,0,0,34.890
2,AL,13,12,280,0,0,0,17.693
3,AL,12,11,73,0,0,0,9.579
4,AL,2,1,74,0,0,0,0.947
5,AL,30,0,1426,0,0,0,3.063
6,AL,52,22,448,0,0,0,29.939
7,AL,56,26,631,0,0,0,41.673
8,AL,53,23,516,0,0,0,38.366
9,AL,58,28,1007,0,0,0,37.250
10,AL,59,29,410,0,0,0,42.022
11,AL,59,29,739,0,0,0,43.493
12,AL,60,30,519,0,0,0,46.361
13,AL,56,26,524,0,0,0,49.142
14,AL,100,70,902,2,1,1,37.157
15,AL,165,135,1411,0,0,0,53.888
16,AL,237,207,1822,0,0,0,134.530
17,AL,162,132,1119,0,0,0,96.998
18,AL,240,210,1666,0,0,0,96.190
19,AL,175,145,909,0,0,0,106.442
20,AL,251,221,2402,0,0,0,105.104
21,AL,182,152,716,0,0,0,117.379
22,AL,254,224,896,0,0,0,121.518
23,AL,153,123,243,0,0,0,103.732
24,AL,60,30,144,1,1,1,129.711
25,AL,37,7,128,0,0,0,58.712
26,AL,41,11,193,0,0,0,38.845
27,AL,42,12,145,0,0,0,40.487
28,AL,34,4,142,0,0,0,44.718
29,AL,42,12,175,0,0,0,39.837
30,AL,44,14,164,0,0,0,46.512
31,AL,31,1,103,0,0,0,46.877
32,AL,38,8,136,0,0,0,38.637
33,AL,41,11,259,0,0,0,48.292
34,AL,40,10,165,0,0,0,46.147
35,AL,42,12,93,0,0,0,42.923
36,AL,45,15,115,0,0,0,45.627
37,AL,33,3,109,0,0,0,51.022
38,AL,39,9,149,0,0,0,42.351
39,AL,42,12,147,0,0,0,45.247
40,AL,39,9,124,0,0,0,48.702
41,AL,40,10,140,0,0,0,42.968
42,AL,46,16,180,0,0,0,43.244
43,AL,34,4,157,0,0,0,51.220
44,AL,45,15,149,0,0,0,39.401
45,AL,42,12,100,0,0,0,48.729
46,AL,33,3,114,0,0,0,45.065
47,AL,43,13,118,0,0,0,38.526
48,AL,43,13,198,0,0,0,45.877
49,AL,34,4,181,0,0,0,46.852
50,AL,43,13,126,0,0,0,38.435
51,AL,45,15,100,0,0,0,44.107
52,AL,32,2,115,0,0,0,49.762
53,AL,44,14,124,0,0,0,36.145
54,AL,44,14,110,0,0,0,44.498
55,AL,32,2,94,0,0,0,48.971
56,AL,39,9,206,0,0,0,34.673
57,AL,60,30,274,1,1,0,27.945
58,AL,171,141,325,0,0,0,42.568
59,AL,56,26,134,0,0,0,155.265
60,AL,36,6,123,0,0,0,58.283
61,AL,40,10,86,0,0,0,41.760
62,AL,40,10,97,0,0,0,48.115
63,AL,38,8,116,0,0,0,46.213
64,AL,35,5,171,0,0,0,43.657
65,AL,42,12,93,0,0,0,39.798
66,AL,43,13,107,0,0,0,54.442
67,AL,34,4,74,0,0,0,56.410
68,AL,40,10,69,0,0,0,40.414
69,AL,41,11,135,0,0,0,50.976
70,AL,35,5,82,0,0,0,47.989
71,AL,37,7,80,0,0,0,47.951
72,AL,45,15,79,0,0,0,40.743
73,AL,38,8,69,0,0,0,54.340
74,AL,37,7,66,0,0,0,48.770
75,AL,41,11,107,0,0,0,46.928
76,AL,42,12,95,0,0,0,48.548
77,AL,39,9,101,0,0,0,55.147
78,AL,46,16,116,0,0,0,47.557
79,AL,35,5,87,0,0,0,49.265
80,AL,42,12,93,0,0,0,44.450
81,AL,43,13,130,0,0,0,49.738
82,AL,35,5,140,0,0,0,52.035
83,AL,41,11,69,0,0,0,41.904
84,AL,44,14,83,0,0,0,55.207
85,AL,35,5,132,0,0,0,55.518
86,AL,38,8,128,0,0,0,48.360
87,AL,42,12,100,0,0,0,44.868
88,AL,40,10,97,0,0,0,49.348
89,AL,43,13,94,0,0,0,47.870
90,AL,44,14,85,0,0,0,53.765
91,AL,33,3,88,0,0,0,50.828
92,AL,40,10,63,0,0,0,41.649
93,AL,41,11,120,0,0,0,48.872
94,AL,39,9,73,0,0,0,48.714
95,AL,35,5,76,0,0,0,48.115
96,AL,43,13,66,0,0,0,41.443
97,AL,42,12,122,0,0,0,51.886
98,AL,35,5,82,0,0,0,50.993
99,AL,43,13,94,0,0,0,41.671
100,AL,42,12,66,0,0,0,49.905
101,AL,34,4,52,0,0,0,51.297
102,AL,39,9,84,0,0,0,43.311
103,AL,39,9,174,0,0,0,44.305
104,AL,38,8,95,0,0,0,46.884
